study,dose,log_rr,se,variance,n_cases,n_controls
Study_15,25.0,-0.019807189087747812,0.04246742972048905,0.0018034825870646767,180,603
Study_15,75.0,0.9461976318360746,0.04724323641557045,0.0022319233870174817,201,253
Study_16,0.0,-0.12159171200898031,0.03456226123305373,0.001194549901541849,389,453
Study_16,12.5,0.023834551139491594,0.029610032260346253,0.0008767540104587458,359,1386
Study_16,25.0,0.13019291370600694,0.03448225082115353,0.0011890256216929435,257,1156
Study_16,50.0,0.33487900990763025,0.03403535572644903,0.0011584054394259268,338,597
Study_16,75.0,1.0293743779692945,0.03183043487549901,0.0010131765843633838,326,1015
Study_17,0.0,-0.14994340554707505,0.0296954905503978,0.0008818221590287652,492,669
Study_17,12.5,0.016009330296903226,0.05879042269912156,0.0034563138011413875,87,429
Study_17,25.0,0.11741793292378364,0.03052783522952175,0.0009319487238008292,414,762
Study_17,50.0,0.3986017330122397,0.03279874350882326,0.0010757575757575758,275,1500
Study_17,75.0,1.0011079959870581,0.029710798353670805,0.0008827315388124878,335,1832
Study_18,12.5,0.11998247688812969,0.05615041336820378,0.003152868921420158,84,1415
Study_18,25.0,0.24459041433700665,0.0403689006759485,0.0016296481417845952,269,357
Study_18,75.0,1.1423921073040058,0.052803603583263574,0.0027882205513784456,95,1596
